id,architecture,policy,clients,campaign,gpus,total_tok_s_gpu,output_tok_s_gpu,requests_s,ttft_p95_s,e2e_normalized_interactivity_p90_tps,cache_pct,successful_requests,request_errors,submission_valid,post_knee,router_flags
n3u-agg-ns-agentx-kv-c48,agg,kv,48,agg-20260916,24,3334.352078535043,32.27231361619974,0.776775689955147,3.8313594374,51.82566078052918,86.20643411827723,2843,0,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
n3u-agg-ns-agentx-kv-c96,agg,kv,96,agg-20260916,24,6843.880810963666,75.10970041208905,1.9065568234288357,5.357950530349997,29.50299271411385,79.19202693348505,6978,0,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
n3u-agg-ns-agentx-kv-c192,agg,kv,192,agg-20260916,24,9654.845403825839,96.80592651877136,2.593730234677929,11.65726274620001,13.536680071673597,74.38365790099185,9519,3,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
1789856222_alisachen-n3u-agg-ns-agentx-kv-c192,agg,kv,192,agg-np2-20260919,24,9468.385849384316,95.42455876641542,2.5588544095019845,11.1791156295,12.931032771967514,72.86269242004813,9391,3,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
n3u-agg-ns-agentx-kv-c384,agg,kv,384,agg-20260916,24,8257.49339510182,77.74037906153164,2.198634579981075,119.43931245299999,1.1371830244311,60.8059379427452,8069,7,True,True,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
n3u-agg-ns2-agentx-rr-c48,agg,rr,48,agg-20260916,24,3250.084808233436,31.324331101422217,0.7581965129781321,8.271755809899995,40.534940066621154,74.11159579333085,2775,0,True,False,--router-mode round-robin
n3u-agg-ns2-agentx-rr-c96,agg,rr,96,agg-20260916,24,6137.320473879631,67.11020337655773,1.7474110638031493,12.557413355399982,17.72597782640481,69.7303118854385,6413,0,True,False,--router-mode round-robin
n3u-agg-ns2-agentx-rr-c192,agg,rr,192,agg-20260916,24,6802.289469097507,71.37809353845007,1.9634866387349532,60.081522396249994,3.8961262229768185,56.171456051053056,7206,3,True,False,--router-mode round-robin
n3u-agg-ns2-agentx-rr-c384,agg,rr,384,agg-20260916,24,5076.007624767205,49.64641718662606,1.3607605858129257,494.981526287,0.6059020449554375,30.122955847243254,4994,14,True,True,--router-mode round-robin
n3u-agg-ns2-agentx-kvs3c08-c96,agg,kvs3c08,96,agg-20260916,24,7045.363834965239,78.35106620589502,1.9696711739879866,3.1121206455999975,39.49296181617501,86.24548126318845,7209,0,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs --router-prefill-load-scale 3.0 --router-kv-overlap-score-credit 0.8
n3u-agg-ns-agentx-kvs3c08-c192,agg,kvs3c08,192,agg-20260916,24,11011.921190783736,108.86538221497428,2.911987237864478,6.331731673199994,19.77954810155428,81.8470949149697,10687,3,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs --router-prefill-load-scale 3.0 --router-kv-overlap-score-credit 0.8
1789856381_alisachen-n3u-agg-ns2-agentx-kvs3c08-c192,agg,kvs3c08,192,agg-np2-20260919,24,10991.659584761974,110.03900332318159,2.918253545225501,6.196270750099995,19.73850825729107,81.92153532586369,10710,2,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs --router-prefill-load-scale 3.0 --router-kv-overlap-score-credit 0.8
n3u-agg-ns-agentx-kvs2c08-c192,agg,kvs2c08,192,agg-20260916,24,10240.793595581146,102.43347907529873,2.74822639635012,8.11382578225,16.147698879860364,77.49422831549904,10086,3,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs --router-prefill-load-scale 2.0 --router-kv-overlap-score-credit 0.8
n3u-agg-ns2-agentx-kvt05-c192,agg,kvt05,192,agg-20260916,24,7816.373015491913,79.4887205626071,2.2068105729688257,22.148398715199992,7.03151806842581,60.992475087568884,8099,3,True,False,--router-mode kv --router-temperature 0.5 --router-queue-policy fcfs
1789831067_alisachen-n3u-agg-ns-agentx-kvd05-c192,agg,kvd05,192,agg-np2-20260919,24,9361.541375341758,94.57961967786294,2.538690239529278,12.700903086399986,12.025948218474626,72.15231600531939,9317,3,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs --router-kv-overlap-score-credit-decay 0.5
1789831039_alisachen-n3u-agg-ns2-agentx-kvd10-c192,agg,kvd10,192,agg-np2-20260919,24,9233.194637321214,93.39674594128645,2.5114424267190913,13.84758755939999,11.480457107960017,71.36940863517472,9217,3,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs --router-kv-overlap-score-credit-decay 1.0
1789862417_alisachen-n3u-agg-ns-agentx-kvs3c08d05-c192,agg,kvs3c08d05,192,agg-np2-20260919,24,10713.068652868418,106.28690936942645,2.856128952743366,6.974235271049992,18.23945669252999,80.0905203187413,10482,3,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs --router-prefill-load-scale 3.0 --router-kv-overlap-score-credit 0.8 --router-kv-overlap-score-credit-decay 0.5
1789808919_alisachen-n3u-mnnvl-88-agentx-kv-c96,disagg,kv,96,d88-20260917-19,64,2810.028301012714,31.520108428617124,2.0554637009010968,1.5601460072999966,80.93043570400813,93.7655383327445,7523,0,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
1789803115_alisachen-n3u-mnnvl-88-agentx-kv-c144,disagg,kv,144,d88-20260917-19,64,3964.2232766640313,44.13638085419543,2.935693162026676,1.8694890292500004,71.73166306278381,92.78382745781984,10774,0,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
n3u-mnnvl-88-agentx-kv-c192,disagg,kv,192,d88-20260917-19,64,5142.076654264852,50.74613969443079,3.4724779009343503,2.397367030749999,67.3601422550262,92.6545901048762,12744,0,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
n3u-mnnvl-88-agentx-kv-c384,disagg,kv,384,d88-20260917-19,64,9992.74601127299,100.04387342811089,6.740051911789759,4.82529731975,44.75082665968203,90.61152123548916,24736,0,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
n3u-mnnvl-88-agentx-kv-c480,disagg,kv,480,d88-20260917-19,64,12203.63062954909,123.36168832207414,8.230240219102043,7.120770415399999,33.522474276367554,89.10129675670103,30205,0,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
n3u-mnnvl-88-agentx-kv-c672,disagg,kv,672,d88-20260917-19,64,15184.484384891919,149.16756797357755,10.22015776038429,17.041181863,13.740598566793285,85.73978532396359,37508,0,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
n3u-mnnvl-88-agentx-kv-c768,disagg,kv,768,d88-20260917-19,64,15542.675726577172,152.19916938348837,10.407075707381676,27.135735579299997,7.410771667330233,85.1771308017631,38194,0,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
n3u-mnnvl-88-agentx-kv-c1152,disagg,kv,1152,d88-20260917-19,64,10696.688438071084,107.70577144391261,7.396719309105522,164.322932577,1.116072015868549,77.23066365078544,27146,0,True,True,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
n3u-mnnvl-88-agentx-rr-c72,disagg,rr,72,d88-20260917-19,64,1763.1615316616874,20.47053530284874,1.3612019556633073,9.911451840549999,37.399810360033015,65.51746824133838,4982,0,True,False,--router-mode round-robin
n3u-mnnvl-88-agentx-rr-c96,disagg,rr,96,d88-20260917-19,64,2671.45091031219,29.62068525969721,1.9801074417910332,13.027290900699994,28.09352697305164,67.13721356188425,7267,0,True,False,--router-mode round-robin
n3u-mnnvl-88-agentx-rr-c144,disagg,rr,144,d88-20260917-19,64,3587.67647139278,40.77802801959855,2.6730226313380996,21.633107364849998,13.98900245580139,63.008037910670986,9810,0,True,False,--router-mode round-robin
n3u-mnnvl-88-agentx-rr-c192,disagg,rr,192,d88-20260917-19,64,4419.428256313598,44.47667167082624,3.055736992819437,31.453131980550005,8.378253358017355,61.061638862524056,11184,0,True,False,--router-mode round-robin
1789795836_alisachen-n3u-mnnvl-88-agentx-rr-c384,disagg,rr,384,d88-20260917-19,64,3504.33522092502,36.03960212972828,2.4144379223632555,289.39003005999996,1.0989787162934601,37.17294481139144,8861,68,True,True,--router-mode round-robin
n3u-mnnvl-88-agentx-rr-c480,disagg,rr,480,d88-20260917-19,64,3218.506490641808,34.3197363102839,2.2555832188791194,387.54489038090003,0.6525174893396964,29.270384816432482,8278,39,True,True,--router-mode round-robin
n3u-mnnvl-88-agentx-kvs3c08-c480,disagg,kvs3c08,480,d88-20260917-19,64,12018.490359588473,121.56041827066582,8.10816928764692,10.477364404799994,24.193184398374363,86.2992964629602,29757,0,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs --router-prefill-load-scale 3.0 --router-kv-overlap-score-credit 0.8
1789814379_alisachen-n3u-mnnvl-88-agentx-kvc15-c192,disagg,kvc15,192,d88-20260917-19,64,5137.868065373863,50.71924246112609,3.4708413854329034,2.2993870926499995,65.34782023586322,93.39166261487523,12738,0,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs --router-kv-overlap-score-credit 1.5
n3u-mnnvl-88-agentx-kvc15-c480,disagg,kvc15,480,d88-20260917-19,64,12238.975428708767,123.83159058163434,8.254216337283895,6.024716772399979,37.92455313390334,91.16816900806019,30293,0,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs --router-kv-overlap-score-credit 1.5
1789820579_alisachen-n3u-mnnvl-88-agentx-kvc15-c576,disagg,kvc15,576,d88-20260917-19,64,14024.268435459173,136.12660613559115,9.271655528039792,8.750543461899998,30.247936114707016,90.36385845616496,34027,0,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs --router-kv-overlap-score-credit 1.5
1789787390_alisachen-n3u-mnnvl-88-agentx-kvc20-c480,disagg,kvc20,480,d88-20260917-19,64,12239.116889080271,123.55038824343579,8.250672155038089,6.5507894101499975,36.68510501328914,91.74286587812934,30280,0,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs --router-kv-overlap-score-credit 2.0
n3u-mnnvl-88-agentx-kvd05-c480,disagg,kvd05,480,d88-20260917-19,64,11839.141904826249,119.49493900996305,8.002446406873622,13.125560171199997,19.239187069123172,84.15430342227445,29369,0,True,False,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs --router-kv-overlap-score-credit-decay 0.5
